Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21
10000;1000;100;150;150;25;0.5;1;normal;Model4;NA;NA;FALSE;5.3;5.04;5.6;5.18;5.65;5.23;8.06;3.84
10000;1000;100;150;150;25;0.5;1;mixed;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model1;NA;NA;FALSE;4.95;4.97;5.04;5.07;4.94;5.15;7.48;4.51
10000;1000;100;150;150;25;0.5;1;mixed;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;normal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;mixed;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;lognormal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;normal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;lognormal;Model4;NA;NA;FALSE;4.88;4.82;5.14;5.17;5;5.03;7.46;4.42
10000;1000;100;150;150;25;0.75;1;mixed;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;mixed;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;normal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;lognormal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.75;1;normal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;normal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;normal;Model1;NA;NA;FALSE;5.3;5.04;5.6;5.18;5.64;5.25;8.1;4.02
10000;1000;100;150;150;25;0.75;1;lognormal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;lognormal;Model4;NA;NA;FALSE;5.04;4.9;5.1;5.14;5.01;5.09;7.58;4.36
10000;1000;100;150;150;25;0.5;1;mixed;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;25;0.5;1;mixed;Model5;NA;NA;FALSE;99.98;99.99;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;mixed;Model4;NA;NA;FALSE;4.84;5.06;4.95;5.15;4.91;5.08;8.68;3.19
10000;1000;100;150;150;50;0.75;1;normal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;normal;Model1;NA;NA;FALSE;4.5;4.54;4.78;4.9;4.89;4.94;7.37;3.28
10000;1000;100;150;150;50;0.75;1;normal;Model4;NA;NA;FALSE;4.5;4.54;4.78;4.9;4.94;5.11;7.38;3.17
10000;1000;100;150;150;50;0.75;1;mixed;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;normal;Model4;NA;NA;FALSE;4.52;4.68;4.75;4.95;4.8;4.97;7.38;3.21
10000;1000;100;150;150;50;0.5;1;normal;Model1;NA;NA;FALSE;4.52;4.68;4.75;4.95;4.81;5.07;7.41;3.31
10000;1000;100;150;150;50;0.5;1;normal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;normal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;normal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;lognormal;Model4;NA;NA;FALSE;4.73;5.03;4.89;4.98;4.82;4.99;7.65;3.65
10000;1000;100;150;150;50;0.75;1;normal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;lognormal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;lognormal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;mixed;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;mixed;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;lognormal;Model4;NA;NA;FALSE;4.84;5.12;4.53;4.94;4.55;5.07;7.34;3.69
10000;1000;100;150;150;50;0.75;1;normal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;mixed;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;normal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;mixed;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;mixed;Model1;NA;NA;FALSE;7.08;13.44;10.99;22.02;10.81;21.84;21.94;16.24
10000;1000;100;150;150;50;0.75;1;lognormal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;lognormal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;mixed;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;lognormal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;lognormal;Model2;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;lognormal;Model1;NA;NA;FALSE;5.13;5.2;4.87;4.99;4.68;5;7.53;3.74
10000;1000;100;150;150;50;0.5;1;mixed;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;lognormal;Model1;NA;NA;FALSE;4.92;5.23;5.05;5.06;4.88;4.94;7.74;3.77
10000;1000;100;150;150;50;0.5;1;mixed;Model1;NA;NA;FALSE;8.4;12.14;12.69;21.71;12.5;21.39;20.85;16.8
10000;1000;100;150;150;50;0.5;1;mixed;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;lognormal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;lognormal;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;mixed;Model7;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;mixed;Model5;NA;NA;FALSE;99.99;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.5;1;normal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;normal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;mixed;Model4;NA;NA;FALSE;4.82;4.85;4.92;5.27;4.96;5.34;10.25;3.07
10000;1000;100;150;150;50;0.5;1;lognormal;Model5;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;normal;Model3;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;100;150;150;50;0.75;1;lognormal;Model6;NA;NA;FALSE;100;100;100;100;100;100;100;100
10000;1000;20;30;30;25;0.75;1;normal;Model1;NA;NA;FALSE;5.31;5.39;5.23;5.41;4.96;5.46;8.36;4.32
10000;1000;20;30;30;25;0.5;1;lognormal;Model5;NA;NA;FALSE;99.99;98.36;100;99.97;100;99.98;100;99.95
10000;1000;20;30;30;25;0.75;1;normal;Model5;NA;NA;FALSE;89.48;90.53;93.34;95.49;93.02;95.5;96.24;93.59
10000;1000;20;30;30;25;0.75;1;mixed;Model4;NA;NA;FALSE;4.86;5;5.07;5.55;4.95;5.41;10.53;3.81
