nsim,n_perm,n_1,n_2,n_3,I,g,a,distr,Model,distr_jtz,rho,ZP,pvaldPermPTtest,pvalePermPTtest,pvaldPerm,pvalePerm,pvaldPBstrp,pvalePBstrp,pvaldNPBstrp,pvaleNPBstrp
10000,1000,5,10,10,25,0.25,1,lognormal,Model1,NA,NA,FALSE,6.91,6.41,5.51,5.09,3.28,5.84,9.6,7.21
10000,1000,5,10,10,25,0.5,1,normal,Model5,NA,NA,FALSE,16.03,13.44,20.1,13.35,17.3,14.4,32.2,16.91
10000,1000,5,10,10,25,0.75,1,normal,Model1,NA,NA,FALSE,6.83,6.79,5.39,5.19,4.53,6.89,10.21,7.28
10000,1000,5,10,10,25,0.75,1,normal,Model6,NA,NA,FALSE,28.9,22.58,33.77,22.02,30.28,23.8,48.74,24.47
10000,1000,5,10,10,25,0.25,1,normal,Model1,NA,NA,FALSE,6.63,6.88,5.26,5.39,4.51,6.65,9.91,6.92
10000,1000,5,10,10,25,0,1,lognormal,Model7,NA,NA,FALSE,11.85,11.75,19.48,19.58,10.81,22.18,30.68,30.3
10000,1000,5,10,10,25,0,1,normal,Model5,NA,NA,FALSE,11.17,9.93,15.89,9.9,12.65,10.83,25.85,12.84
10000,1000,5,10,10,25,0.5,1,normal,Model3,NA,NA,FALSE,27.26,24.2,42.98,35.63,31.73,42.55,57.48,37.54
10000,1000,5,10,10,25,0.5,1,lognormal,Model4,NA,NA,FALSE,6.97,6.51,5.31,5.12,3.87,6.76,10.82,8.95
10000,1000,5,10,10,25,0.25,1,normal,Model5,NA,NA,FALSE,13.14,11.1,17.74,11,14.26,11.88,28.71,14.26
10000,1000,5,10,10,25,0,1,normal,Model3,NA,NA,FALSE,15.73,14.54,29.68,24.01,20.44,27.62,42.62,24.02
10000,1000,5,10,10,25,0.25,1,normal,Model3,NA,NA,FALSE,19.5,17.88,34.44,28.13,24.6,32.58,47.81,28.64
10000,1000,5,10,10,25,0.5,1,lognormal,Model7,NA,NA,FALSE,19.58,18.9,28.27,29.01,16.57,33.42,41.59,42.61
10000,1000,5,10,10,25,0.5,1,lognormal,Model3,NA,NA,FALSE,48.55,37.42,76.43,51.26,68.44,59.99,88.77,60.08
10000,1000,5,10,10,25,0.5,1,normal,Model4,NA,NA,FALSE,6.83,7.14,5.17,5.59,4.29,7.02,10.16,7.81
10000,1000,5,10,10,25,0.25,1,lognormal,Model3,NA,NA,FALSE,35.05,26.96,67.31,42.14,56.68,47.53,81.1,48.27
10000,1000,5,10,10,25,0.75,1,normal,Model5,NA,NA,FALSE,24.95,19.99,27.52,19.09,25.66,21.42,42.83,24.45
10000,1000,5,10,10,25,0.75,1,lognormal,Model3,NA,NA,FALSE,76.03,60.16,90.32,69.81,88.48,82.37,97.45,81.93
10000,1000,5,5,5,25,0.25,1,lognormal,Model4,NA,NA,FALSE,6.83,6.98,5.06,5.31,3.31,6.45,9.36,8.04
10000,1000,5,10,10,25,0,1,normal,Model1,NA,NA,FALSE,6.48,6.57,4.9,5.14,4.4,6.51,9.89,6.74
10000,1000,5,10,10,25,0.5,1,normal,Model1,NA,NA,FALSE,6.81,7.13,5.17,5.59,4.39,6.94,10.06,7.27
10000,1000,5,10,10,25,0.75,1,lognormal,Model5,NA,NA,FALSE,65.02,42.25,81.59,46.8,70.79,52.97,93.69,63.66
10000,1000,5,10,10,25,0,1,normal,Model4,NA,NA,FALSE,6.51,6.56,4.9,5.14,4.43,6.49,10.06,7.22
10000,1000,5,10,10,25,0.75,1,normal,Model7,NA,NA,FALSE,31.71,51.75,41.2,73.47,36.41,92.64,61.61,93.58
10000,1000,5,10,10,25,0.5,1,lognormal,Model6,NA,NA,FALSE,43.73,29.92,72.97,35.96,59.46,40.18,88.68,46.53
10000,1000,5,10,10,25,0,1,normal,Model7,NA,NA,FALSE,12.27,17.34,20.48,46.33,14.81,61.88,32.9,64.89
10000,1000,5,10,10,25,0.25,1,lognormal,Model2,NA,NA,FALSE,16.25,13.51,26.16,16.35,16.76,17.28,38.89,23.32
10000,1000,5,10,10,25,0,1,lognormal,Model5,NA,NA,FALSE,18.91,15.32,41.86,19.21,26.92,21.19,60.48,30.14
10000,1000,5,10,10,25,0.75,1,normal,Model3,NA,NA,FALSE,49.39,41.95,63.07,52.72,53.26,64.73,78.19,59.27
10000,1000,5,10,10,25,0,1,lognormal,Model1,NA,NA,FALSE,6.45,6.15,5.22,4.64,3.03,5.88,9.41,7.42
10000,1000,5,5,10,25,0.5,1,lognormal,Model5,NA,NA,FALSE,33.71,23.31,46.16,25.17,31.19,28.26,60.48,35.95
10000,1000,5,10,10,25,0.75,1,lognormal,Model4,NA,NA,FALSE,7.09,6.6,5.52,5.33,3.98,7.05,10.8,9.01
10000,1000,5,10,10,25,0.5,1,lognormal,Model5,NA,NA,FALSE,35.49,24.92,59.38,29.62,43.05,33.21,77.88,43.43
10000,1000,5,10,10,25,0.75,1,lognormal,Model7,NA,NA,FALSE,34.91,33.54,43.9,44.3,30.7,54.07,61.16,64.16
10000,1000,5,10,10,25,0,1,lognormal,Model3,NA,NA,FALSE,27.39,21.61,61.84,36.25,49.71,40.61,76.33,41.37
10000,1000,5,10,10,25,0.25,1,lognormal,Model7,NA,NA,FALSE,14.37,14.14,22.69,22.93,12.52,25.85,34.1,34.64
10000,1000,5,10,10,25,0.5,1,normal,Model7,NA,NA,FALSE,18.66,31.32,28.17,58.68,22.24,78.21,44.04,79.97
